,qw1,qw2,qw3,qw4,qw5,qw6,qw7,qw8,qw9,qw10,qw11,qw12,qd1,qd2,qd3,qd4,qd5,qd6,qd7,qd8,qd9,qd10,qd11,qd12,c_scores,stage 1,stage 2,stage 3,stage 4,stage 5,stage 6
0,-2,-1,-3,2,-1,3,3,4,-2,3,3,-1,1,1,-3,-3,2,-1,-1,-2,-1,-2,-3,-1,44.77249045,-2,-2.25,-0.5,0.75,1.25,1.5
1,-2,-1,-2,3,-1,3,3,4,-1,3,3,-1,1,3,-2,-1,1,-1,-2,-2,-2,-1,-2,-1,35.54868624,-1.5,-1.25,-0.5,0.5,1.75,1.5
2,-2,-1,-2,3,-1,2,3,3,-1,2,2,1,3,4,4,2,3,-1,-2,-3,-3,-2,-3,-2,13.32744925,0.25,-0.75,-0.75,0.75,1.25,1.5
3,-2,-3,-1,2,-2,-3,3,3,-1,-2,-2,-1,4,4,3,2,3,-2,-2,-3,-2,-1,-3,-2,20.87155963,-0.25,-1,-1.75,0.25,-1,1.75
4,2,-2,-1,3,-2,-1,4,4,-2,-3,-3,-2,4,4,2,-2,2,-1,-2,-3,-3,-2,-1,-2,26.91583759,0,-1.75,-1.75,0.5,-0.75,2
5,-1,-3,-1,3,-2,-1,3,4,-2,-3,-3,-2,3,4,3,2,3,-1,-2,-3,-2,-1,-2,-3,21.38381912,-0.25,-1,-1.75,0,-0.75,2
6,-1,-2,-1,2,-2,-3,3,3,-1,-3,-3,-1,4,4,3,2,3,-1,-2,-3,-2,-1,-2,-1,24.7961341,0,-0.75,-1.75,0.75,-1.25,1.75
7,2,-2,-1,3,-2,-1,3,3,-1,-3,-2,-1,4,4,3,2,3,-1,-2,-3,-2,-1,-2,-1,25.28019925,0.75,-0.75,-1.5,0.75,-0.75,2
8,3,-2,-1,2,-1,-3,3,3,1,3,3,-2,4,4,3,3,3,2,-2,-2,-2,-2,-1,-2,3.694945315,0.5,0.5,0.5,0.5,0.5,1.75
9,-2,-1,-3,2,-2,1,3,3,-2,-3,-3,-1,2,3,-2,-3,1,-1,-1,-2,-3,-1,-4,1,45.24886878,-1.5,-2.75,-2,1,-0.25,1
